city,country,year,city_temp,global_temp
Dublin,Ireland,1750,9.32,8.72
Dublin,Ireland,1751,9.12,7.98
Dublin,Ireland,1752,6.28,5.78
Dublin,Ireland,1753,8.63,8.39
Dublin,Ireland,1754,8.59,8.47
Dublin,Ireland,1755,8.29,8.36
Dublin,Ireland,1756,8.75,8.85
Dublin,Ireland,1757,8.72,9.02
Dublin,Ireland,1758,7.83,6.74
Dublin,Ireland,1759,8.82,7.99
Dublin,Ireland,1760,8.14,7.19
Dublin,Ireland,1761,8.95,8.77
Dublin,Ireland,1762,8.32,8.61
Dublin,Ireland,1763,7.95,7.50
Dublin,Ireland,1764,8.26,8.40
Dublin,Ireland,1765,8.08,8.25
Dublin,Ireland,1766,8.24,8.41
Dublin,Ireland,1767,8.38,8.22
Dublin,Ireland,1768,8.25,6.78
Dublin,Ireland,1769,8.33,7.69
Dublin,Ireland,1770,8.08,7.69
Dublin,Ireland,1771,8.14,7.85
Dublin,Ireland,1772,8.22,8.19
Dublin,Ireland,1773,8.26,8.22
Dublin,Ireland,1774,8.22,8.77
Dublin,Ireland,1775,9.06,9.18
Dublin,Ireland,1776,8.30,8.30
Dublin,Ireland,1777,8.49,8.26
Dublin,Ireland,1778,8.90,8.54
Dublin,Ireland,1779,9.77,8.98
Dublin,Ireland,1780,9.02,9.43
Dublin,Ireland,1781,9.51,8.10
Dublin,Ireland,1782,7.46,7.90
Dublin,Ireland,1783,8.65,7.68
Dublin,Ireland,1784,7.67,7.86
Dublin,Ireland,1785,8.11,7.36
Dublin,Ireland,1786,7.89,8.26
Dublin,Ireland,1787,8.84,8.03
Dublin,Ireland,1788,8.84,8.45
Dublin,Ireland,1789,8.74,8.33
Dublin,Ireland,1790,8.99,7.98
Dublin,Ireland,1791,8.84,8.23
Dublin,Ireland,1792,8.82,8.09
Dublin,Ireland,1793,8.76,8.23
Dublin,Ireland,1794,9.13,8.53
Dublin,Ireland,1795,8.41,8.35
Dublin,Ireland,1796,8.68,8.27
Dublin,Ireland,1797,8.66,8.51
Dublin,Ireland,1798,9.14,8.67
Dublin,Ireland,1799,7.56,8.51
Dublin,Ireland,1800,8.47,8.48
Dublin,Ireland,1801,8.88,8.59
Dublin,Ireland,1802,8.65,8.58
Dublin,Ireland,1803,8.47,8.50
Dublin,Ireland,1804,8.80,8.84
Dublin,Ireland,1805,8.52,8.56
Dublin,Ireland,1806,8.73,8.43
Dublin,Ireland,1807,7.97,8.28
Dublin,Ireland,1808,8.17,7.63
Dublin,Ireland,1809,8.02,7.08
Dublin,Ireland,1810,7.90,6.92
Dublin,Ireland,1811,8.64,6.86
Dublin,Ireland,1812,7.72,7.05
Dublin,Ireland,1813,8.33,7.74
Dublin,Ireland,1814,7.45,7.59
Dublin,Ireland,1815,8.09,7.24
Dublin,Ireland,1816,7.20,6.94
Dublin,Ireland,1817,8.01,6.98
Dublin,Ireland,1818,8.88,7.83
Dublin,Ireland,1819,8.41,7.37
Dublin,Ireland,1820,8.12,7.62
Dublin,Ireland,1821,8.97,8.09
Dublin,Ireland,1822,9.14,8.19
Dublin,Ireland,1823,7.96,7.72
Dublin,Ireland,1824,8.74,8.55
Dublin,Ireland,1825,9.11,8.39
Dublin,Ireland,1826,9.24,8.36
Dublin,Ireland,1827,8.76,8.81
Dublin,Ireland,1828,9.37,8.17
Dublin,Ireland,1829,7.76,7.94
Dublin,Ireland,1830,8.24,8.52
Dublin,Ireland,1831,9.03,7.64
Dublin,Ireland,1832,8.58,7.45
Dublin,Ireland,1833,8.50,8.01
Dublin,Ireland,1834,9.41,8.15
Dublin,Ireland,1835,8.64,7.39
Dublin,Ireland,1836,7.94,7.70
Dublin,Ireland,1837,8.21,7.38
Dublin,Ireland,1838,7.52,7.51
Dublin,Ireland,1839,8.03,7.63
Dublin,Ireland,1840,8.12,7.80
Dublin,Ireland,1841,8.19,7.69
Dublin,Ireland,1842,8.76,8.02
Dublin,Ireland,1843,8.58,8.17
Dublin,Ireland,1844,8.34,7.65
Dublin,Ireland,1845,8.03,7.85
Dublin,Ireland,1846,9.47,8.55
